product,product_index
_.,0
_12 Macaron,1
_Armoricain,2
_Article 295,3
_Baguette,4
_Baguette Apero,5
_Baguette Graine,6
_Banette,7
_Banettine,8
_Boisson 33Cl,9
_Bottereau,10
_Boule 200G,11
_Boule 400G,12
_Boule Polka,13
_Brioche,14
_Brioche De Noel,15
_Briochette,16
_Brownies,17
_Buche 4Pers,18
_Buche 6Pers,19
_Buche 8Pers,20
_Cafe Ou Eau,21
_Cake,22
_Campagne,23
_Caramel Noix,24
_Cereal Baguette,25
_Chausson Aux Pommes,26
_Chocolat,27
_Chou Chantilly,28
_Complet,29
_Cookie,30
_Coupe,31
_Croissant,32
_Croissant Amandes,33
_Crumble,34
_Crumblecaramel Ou Pistae,35
_Delicetropical,36
_Demi Baguette,37
_Demi Pain,38
_Divers Boissons,39
_Divers Boulangerie,40
_Divers Confiserie,41
_Divers Patisserie,42
_Divers Sandwichs,43
_Divers Viennoiserie,44
_Douceur D Hiver,45
_Eclair,46
_Eclair Fraise Pistache,47
_Entremets,48
_Ficelle,49
_Financier,50
_Financier X5,51
_Flan,52
_Flan Abricot,53
_Fondant Chocolat,54
_Formule Pate,55
_Formule Plat Prepare,56
_Formule Sandwich,57
_Fraisier,58
_Framboisier,59
_Gache,60
_Gal Frangipane 4P,61
_Gal Frangipane 6P,62
_Gal Poire Choco 4P,63
_Gal Poire Choco 6P,64
_Gal Pomme 4P,65
_Gal Pomme 6P,66
_Galette 8 Pers,67
_Gd Far Breton,68
_Gd Kouign Amann,69
_Gd Nantais,70
_Gd Plateau Sale,71
_Grand Far Breton,72
_Grande Sucette,73
_Guerandais,74
_Kouign Amann,75
_Macaron,76
_Meringue,77
_Milles Feuilles,78
_Moisson,79
_Nantais,80
_Nid De Poule,81
_Noix Japonaise,82
_Paille,83
_Pain,84
_Pain Au Chocolat,85
_Pain Aux Raisins,86
_Pain Banette,87
_Pain Choco Amandes,88
_Pain De Mie,89
_Pain Graines,90
_Pain Noir,91
_Pain S/Sel,92
_Pain Suisse Pepito,93
_Palet Breton,94
_Palmier,95
_Paris Brest,96
_Pates,97
_Plaque Tarte 25P,98
_Plat,99
_Plat 6.50E,100
_Plat 7.00,101
_Plat 7.60E,102
_Plat 8.30E,103
"_Platprepare5,50",104
"_Platprepare6,00",105
"_Platprepare6,50",106
"_Platprepare7,00",107
_Pt Nantais,108
_Pt Plateau Sale,109
_Quim Bread,110
_Reduction Sucrees 12,111
_Reduction Sucrees 24,112
_Religieuse,113
_Royal,114
_Royal 4P,115
_Royal 6P,116
_Sable F  P,117
_Sachet De Crouton,118
_Sachet De Viennoiserie,119
_Sachet Viennoiserie,120
_Sand Jb,121
_Sand Jb Emmental,122
_Sandwich Complet,123
_Savarin,124
_Seigle,125
_Special Bread,126
_Special Bread Kg,127
_St Honore,128
_Sucette,129
_Tarte Fine,130
_Tarte Fraise 4Per,131
_Tarte Fraise 6P,132
_Tarte Fruits 4P,133
_Tarte Fruits 6P,134
_Tartelette,135
_Tartelette Choc,136
_Tartelette Cocktail,137
_Tartelette Fraise,138
_The,139
_Traditional Baguette,140
_Traiteur,141
_Triangles,142
_Trois Chocolat,143
_Tropezienne,144
_Tropezienne Framboise,145
_Tulipe,146
_Viennoise,147
_Vik Bread,148
